GAME_DATE_EST,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
4284,2022,100.0,0.455,0.714,0.323,18.0,45.0,121.0,0.43,0.786,0.393,27.0,50.0,0
4284,2022,96.0,0.355,0.808,0.273,15.0,50.0,123.0,0.517,0.667,0.344,31.0,46.0,0
4284,2022,96.0,0.391,0.885,0.208,15.0,44.0,105.0,0.47,0.789,0.375,24.0,47.0,0
4284,2022,121.0,0.56,0.72,0.31,31.0,43.0,108.0,0.487,0.808,0.393,23.0,29.0,1
4284,2022,128.0,0.528,0.8,0.333,25.0,44.0,135.0,0.516,0.8,0.423,26.0,42.0,0
4284,2022,120.0,0.529,0.5,0.481,34.0,35.0,101.0,0.44,0.9,0.107,17.0,45.0,1
4284,2022,111.0,0.452,0.786,0.361,20.0,44.0,116.0,0.482,0.774,0.4,19.0,49.0,0
4283,2022,117.0,0.421,0.806,0.414,25.0,45.0,116.0,0.453,0.743,0.364,23.0,56.0,1
4283,2022,117.0,0.557,0.643,0.357,24.0,43.0,109.0,0.529,0.538,0.375,31.0,33.0,1
4283,2022,116.0,0.46,0.75,0.333,26.0,48.0,120.0,0.475,0.722,0.314,19.0,50.0,0
4283,2022,114.0,0.537,0.682,0.344,27.0,41.0,105.0,0.437,0.733,0.292,16.0,43.0,1
4283,2022,107.0,0.488,1.0,0.381,22.0,33.0,96.0,0.494,0.667,0.348,19.0,40.0,1
4283,2022,129.0,0.532,0.8,0.395,29.0,42.0,133.0,0.542,0.75,0.423,32.0,44.0,0
4283,2022,117.0,0.433,0.786,0.367,22.0,57.0,109.0,0.44,0.882,0.424,23.0,42.0,1
4283,2022,99.0,0.388,0.75,0.282,26.0,49.0,117.0,0.435,0.962,0.286,25.0,53.0,0
4283,2022,121.0,0.529,0.737,0.459,30.0,37.0,122.0,0.494,0.791,0.333,19.0,41.0,0
4283,2022,139.0,0.554,0.865,0.441,29.0,47.0,119.0,0.435,0.818,0.353,25.0,35.0,1
4283,2022,119.0,0.483,0.652,0.4,32.0,50.0,111.0,0.462,0.667,0.333,28.0,44.0,1
4282,2022,131.0,0.543,0.583,0.429,29.0,52.0,125.0,0.535,0.483,0.413,25.0,30.0,1
4281,2022,113.0,0.608,0.8,0.517,28.0,40.0,85.0,0.416,0.833,0.231,19.0,30.0,1
4281,2022,108.0,0.494,0.88,0.296,26.0,33.0,125.0,0.543,0.789,0.25,25.0,49.0,0
4281,2022,134.0,0.554,0.87,0.489,32.0,41.0,121.0,0.522,1.0,0.45,25.0,32.0,1
4281,2022,113.0,0.464,0.923,0.423,22.0,35.0,107.0,0.438,0.676,0.25,19.0,51.0,1
